Time	Person	xcor	ycor
3	15	28	39
3	16	69	17
3	17	55	16
3	18	66	35
3	19	55	26
3	20	56	49
3	21	61	33
3	22	11	19
3	23	12	22
3	24	68	40
3	25	23	29
3	26	19	22
3	27	70	19
3	28	35	37
3	29	25	37
3	30	70	38
3	31	20	48
3	32	55	45
3	33	10	20
3	34	24	22
3	35	29	50
3	36	51	39
3	37	58	50
3	38	56	21
3	39	27	51
3	40	37	16
3	41	13	51
3	42	15	28
3	43	17	27
3	44	17	15
3	45	17	39
3	46	27	51
3	47	31	50
3	48	19	39
3	49	14	41
3	50	67	34
3	51	35	45
3	52	26	48
3	53	23	18
3	54	12	14
3	55	26	15
3	56	13	36
3	57	28	25
3	58	40	39
3	59	41	16
3	60	33	47
3	61	19	46
3	62	11	16
3	63	17	19
3	64	39	15
3	65	57	51
3	66	35	20
3	67	10	22
3	68	25	16
3	69	31	51
3	70	9	37
3	71	35	36
3	72	28	29
3	73	47	40
3	74	10	19
3	75	8	38
3	76	60	36
3	77	37	16
3	78	34	51
3	79	35	26
3	80	57	34
3	81	71	18
4	0	11	27
4	1	70	36
4	2	71	14
4	3	57	49
4	4	9	50
4	5	14	28
4	6	15	30
4	7	15	35
4	8	27	22
4	9	27	23
4	10	16	21
4	11	13	37
4	12	25	15
4	13	37	14
4	14	28	19
4	15	28	39
4	16	69	17
4	17	55	16
4	18	66	35
4	19	55	26
4	20	56	49
4	21	61	33
4	22	11	19
4	23	12	22
4	24	68	40
4	25	23	29
4	26	19	22
4	27	70	19
4	28	35	37
4	29	25	37
4	30	70	38
4	31	20	48
4	32	55	45
4	33	10	20
4	34	24	22
4	35	29	50
4	36	51	39
4	37	58	50
4	38	56	21
4	39	27	51
4	40	37	16
4	41	13	51
4	42	15	28
4	43	17	27
4	44	17	15
4	45	17	39
4	46	27	51
4	47	31	50
4	48	19	39
4	49	14	41
4	50	67	34
4	51	35	45
4	52	26	48
4	53	23	18
4	54	12	14
4	55	26.25	15
4	56	13	36
4	57	28	25
4	58	40	39
4	59	41	16
4	60	33	46.75
4	61	19	46
4	62	11	16
4	63	17	19
4	64	39	15
4	65	57	51
4	66	35	20
4	67	10	22
4	68	25	16
4	69	31	51
4	70	9	37
4	71	35	36
4	72	28	29
4	73	47	40
4	74	10	19
4	75	8	38
4	76	60	36
4	77	37	16
4	78	34	51
4	79	35	26
4	80	57	34
4	81	71	18
5	0	11	27
5	1	70	36
5	2	71	14
5	3	57	49
5	4	9	50
5	5	14	28
5	6	15	30
5	7	15	35
5	8	27	22
5	9	27	23
5	10	16	21
5	11	13	37
5	12	25	15
5	13	37	14
5	14	28	19
5	15	28	39
5	16	69	17
5	17	55	16
5	18	66	35
5	19	55	26
5	20	56	49
5	21	61	33
5	22	11	19
5	23	12	22
5	24	68	40
5	25	23	29
5	26	19	22
5	27	70	19
5	28	35	37
5	29	25	37
5	30	70	38
5	31	20	48
5	32	55	45
5	33	10	20
5	34	24	22
5	35	29	50
5	36	51	39
5	37	58	50
5	38	56	21
5	39	27	51
5	40	37	16
5	41	13	51
5	42	15	28
5	43	17	27
5	44	17	15
5	45	17	39
5	46	27	51
5	47	31	50
5	48	19	39
5	49	14	41
5	50	67	34
5	51	35	45
5	52	26	48
5	53	23	18
5	54	12	14
5	55	26.25	15
5	56	13	36
5	57	28	25
5	58	40	39
5	59	41	16
5	60	33	46.75
5	61	19	46
5	62	11	16
5	63	17	19
5	64	39	15
5	65	57	51
5	66	35	20
5	67	10	22
5	68	25	16
5	69	31	51
5	70	9	37
5	71	35	36
5	72	28	29
5	73	47	40
5	74	10	19
5	75	8	38
5	76	60	36
5	77	37	16
5	78	34	51
5	79	35	26
5	80	57	34
5	81	71	18
6	0	11	27
6	1	70	36
6	2	71	14
6	3	57	49
6	4	9	50
6	5	14	28
6	6	15	30
6	7	15	35
6	8	27	22
6	9	27	23
6	10	16	21
6	11	13	37
6	12	25	15
6	13	37	14
6	14	28	19
6	15	28	39
6	16	69	17
6	17	55	16
6	18	66	35
6	19	55	26
6	20	56	49
6	21	61	33
6	22	11	19
6	23	12	22
6	24	68	40
6	25	23	29
6	26	19	22
6	27	70	19
6	28	35	37
6	29	25	37
6	30	70	38
6	31	20	48
6	32	55	45
6	33	10	20
6	34	24	22
6	35	29	50
6	36	51	39
6	37	58	50
6	38	56	21
6	39	27	51
6	40	37	16
6	41	13	51
6	42	15	28
6	43	17	27
6	44	17	15
6	45	17	39
6	46	27	51
6	47	31	50
6	48	19	39
6	49	14	41
6	50	67	34
6	51	35	45
6	52	26	48
6	53	23	18
6	54	12	14
6	55	26.25	15
6	56	13	36
6	57	28	25
6	58	40	39
6	59	41	16
6	60	33	46.75
6	61	19	46
6	62	11	16
6	63	17	19
6	64	39	15
6	65	57	51
6	66	35	20
6	67	10	22
6	68	25	16
6	69	31	51
6	70	9	37
6	71	35	36
6	72	28	29
6	73	47	40
6	74	10	19
6	75	8	38
6	76	60	36
6	77	37	16
6	78	34	51
6	79	35	26
6	80	57	34
6	81	71	18
7	0	11	27
7	1	70	36
7	2	71	14
7	3	57	49
7	4	9	50
7	5	14	28
7	6	15	30
7	7	15	35
7	8	27	22
7	9	27.25	23
7	10	16	21
7	11	13	37
7	12	25	15
7	13	37	14
7	14	28	19
7	15	28	39
7	16	69	17
7	17	55	16
7	18	66	35
7	19	55	26
7	20	56	49
7	21	61	33
7	22	11	19
7	23	12	22
7	24	68	40
7	25	23	29
7	26	19	22
7	27	70	19
7	28	35	37
7	29	25	37
7	30	70	38
7	31	20	48
7	32	55	45
7	33	10	20
7	34	24	22
7	35	29	50
7	36	51	39
7	37	58	50
7	38	56	21
7	39	27	51
7	40	37	16
7	41	13	51
7	42	15	28
7	43	17	27
7	44	17	15
7	45	17	39
7	46	27	51
7	47	31	50
7	48	19	39
7	49	14	41
7	50	67	34
7	51	35	45
7	52	26	48
7	53	23	18
7	54	12	14
7	55	26.25	15
7	56	13	36
7	57	28	25
7	58	40	39
7	59	41	16
7	60	33	46.75
7	61	19	46
7	62	11	16
7	63	17	19
7	64	39	15
7	65	57	51
7	66	35	20
7	67	10	22
7	68	25	16
7	69	31	51
7	70	9	37
7	71	35	36
7	72	28	29
7	73	47	40
7	74	10	19
7	75	8	38
7	76	60	36
7	77	37	16
7	78	34	51
7	79	35	26
7	80	57	34
7	81	71	18
8	0	11	27
8	1	70	36
8	2	71	14
8	3	57	49
8	4	9	50
8	5	14	28
8	6	15	30
8	7	15	35
8	8	27	22
8	9	27.25	23
8	10	16	21
8	11	13	37
8	12	25	15
8	13	37	14
8	14	28	19
8	15	28	39
8	16	69	17
8	17	55	16
8	18	66	35
8	19	55	26
8	20	56	49
8	21	61	33
8	22	11	19
8	23	12	22
8	24	68	40
8	25	23	29
8	26	19	22
8	27	70	19
8	28	35	37
8	29	25	37
8	30	70	38
8	31	20	48
8	32	55	45
8	33	10	20
8	34	24	22
8	35	29	50
8	36	51	39
8	37	58	50
8	38	56	21
8	39	27	51
8	40	37	16
8	41	13	51
8	42	15	28
8	43	17	27
8	44	17	15
8	45	17	39
8	46	27	51
8	47	31	50
8	48	19	39
8	49	14	41
8	50	67	34
8	51	35	45
8	52	26	48
8	53	23	18
8	54	12	14
8	55	26.25	15
8	56	13	36
8	57	28	25
8	58	40	39
8	59	41	16
8	60	33	46.75
8	61	19	46
8	62	11	16
8	63	17	19
8	64	39	15
8	65	57	51
8	66	35	20
8	67	10	22
8	68	25	16
8	69	31	51
8	70	9	37
8	71	35	36
8	72	28	29
8	73	47	40
8	74	10	19
8	75	8	38
8	76	60	36
8	77	37	16
8	78	34	51
8	79	35	26
8	80	57	34
8	81	71	18
9	0	11	27
9	1	70	36
9	2	71	14
9	3	57	49.25
9	4	9	50
9	5	14	28
9	6	15	30
9	7	15	35
9	8	27	22
9	9	27.25	23
9	10	16	21
9	11	13	37
9	12	25	15
9	13	37	14
9	14	28	19
9	15	28	39
9	16	69	17
9	17	55	16
9	18	66	35
9	19	55	26
9	20	56	49
9	21	61	33
9	22	11	19
9	23	12	22
9	24	68	40
9	25	23	29
9	26	19	22
9	27	70	19
9	28	35	37
9	29	25	37
9	30	70	38
9	31	20	48
9	32	55	45
9	33	10	20
9	34	24	22
9	35	29	50
9	36	51	39
9	37	58	50
9	38	56	21
9	39	27	51
9	40	37	16
9	41	13	51
9	42	15	28
9	43	17	27
9	44	17	15
9	45	17	39
9	46	27	51
9	47	31	50
9	48	19	39
9	49	14	41
9	50	67	34
9	51	35	45
9	52	26	48
9	53	23	18
9	54	12	14
9	55	26.25	15
9	56	13	36
9	57	28	25
9	58	40	39
9	59	41	16
9	60	33	46.75
9	61	19	46
9	62	11	16
9	63	17	19
9	64	39	15
9	65	57	51
9	66	35	20
9	67	10	22
9	68	25	16
9	69	31	51
9	70	9	37
9	71	35	36
9	72	28	29
9	73	47	40
9	74	10	19
9	75	8	38
9	76	60	36
9	77	37	16
9	78	34	51
9	79	35	26
9	80	57	34
9	81	71	18
10	0	11	27
10	1	70	36
10	2	71	14
10	3	57	49.25
10	4	9	50
10	5	14	28
10	6	15	30
10	7	15	35
10	8	27	22
10	9	27.25	23
10	10	16	21
10	11	13	37
10	12	25	15
10	13	37	14
10	14	28	19
10	15	28	39
10	16	69	17
10	17	55	16
10	18	66	35
10	19	55	26
10	20	56	49
10	21	61	33
10	22	11	19
10	23	12	22
10	24	68	40
10	25	23	29
10	26	19	22
10	27	70	19
10	28	35	37
10	29	25	37
10	30	70	38
10	31	20	48
10	32	55	45
10	33	10	20
10	34	24	22
10	35	29	50
10	36	51	39
10	37	58	50
10	38	56	21
10	39	27	51
10	40	37	16
10	41	13	51
10	42	15	28
10	43	17	27
10	44	17	15
10	45	17	39
10	46	27	51
10	47	31	50
10	48	19	39
10	49	14	41
10	50	67	34
10	51	35	45
10	52	26	48
10	53	23	18
10	54	12	14
10	55	26.25	15
10	56	13	36
10	57	28	25
10	58	40	39
10	59	41	16
10	60	33	46.75
10	61	19	46
10	62	11	16
10	63	17	19
10	64	39	15
10	65	57	51
10	66	35	20
10	67	10	22
10	68	25	16
10	69	31	51
10	70	9	37
10	71	35	36
10	72	28	29
10	73	47	40
10	74	10	19
10	75	8	38
10	76	60	36
10	77	37	16
10	78	34	51
10	79	35	26
10	80	57	34
10	81	71	18
11	0	11	27
11	1	70	36
11	2	71	14
11	3	57	49.25
11	4	9	50
11	5	14	28
11	6	15	30
11	7	15	35
11	8	27	22
11	9	27.25	23
11	10	16	21
11	11	13	37
11	12	25	15
11	13	37	14
11	14	28	19
11	15	28	39
11	16	69	17
11	17	55	16
11	18	66	35
11	19	55	26
11	20	56	49
11	21	61	33
11	22	11	19
11	23	12	22
11	24	68	40
11	25	23	29
11	26	19	22
11	27	70	19
11	28	35	37
11	29	25	37
11	30	70	38
11	31	20	48
11	32	55	45
11	33	10	20
11	34	24	22
11	35	29	50
11	36	51	39
11	37	58	50
11	38	56	21
11	39	27	51
11	40	37	16
11	41	13	51
11	42	15	28
11	43	17	27
11	44	17	15
11	45	17	39
11	46	27	51
11	47	31	50
11	48	19	39
11	49	14	41
11	50	67	34
11	51	35	45
11	52	26	48
11	53	23	18
11	54	12	14
11	55	26.25	15
11	56	13	36
11	57	28	25
11	58	40	39
11	59	41	16
11	60	33	46.75
11	61	19	46
11	62	11	16
11	63	17	19
11	64	39	15
11	65	57	51
11	66	35	20
11	67	10	22
11	68	25	16
11	69	31	51
11	70	9	37
11	71	35	36
11	72	28	29
11	73	47	40
11	74	10	19
11	75	8	38
11	76	60	36
11	77	37	16
11	78	34	51
11	79	35	26
11	80	57	34
11	81	71	18
12	0	11	27
12	1	70	36
12	2	71	14
12	3	57	49.25
12	4	9	50
12	5	14	28
12	6	15	30
12	7	15	35
12	8	27	22
12	9	27.25	23
12	10	16	21
12	11	13	37
12	12	25	15
12	13	37	14
12	14	28	19
12	15	28	39
12	16	69	17
12	17	55	16
12	18	66	35
12	19	55	26
12	20	56	49
12	21	61	33
12	22	11	19
12	23	12	22
12	24	68	40
12	25	23	29
12	26	19	22
12	27	70	19
12	28	35	37
12	29	25	37
12	30	70	38
12	31	20	48
12	32	55	45
12	33	10	20
12	34	24	22
12	35	29	50
12	36	51	39
12	37	58	50
12	38	56	21
12	39	27	51
12	40	37	16
12	41	13	51
12	42	15	28
12	43	17	27
12	44	17	15
12	45	17	39
12	46	27	51
12	47	31	50
12	48	19	39
12	49	14	41
12	50	67	34
12	51	35	45
12	52	26	48
12	53	23	18
12	54	12	14
12	55	26.25	15
12	56	13	36
12	57	28	25
12	58	40	39
12	59	41	16
12	60	33	46.75
12	61	19	46
12	62	11	16
12	63	17	19
12	64	39	15
12	65	57	51
12	66	35	20
12	67	10	22
12	68	25	16
12	69	31	51
12	70	9	37
12	71	35	36
12	72	28	29
12	73	47	40
12	74	10	19
12	75	8	38
12	76	60	36
12	77	37	16
12	78	34	51
12	79	35	26
12	80	57	34
12	81	71	18
13	0	11	27
13	1	70	36
13	2	71	14
13	3	57	49.25
13	4	9	50
13	5	14	28
13	6	15	30
13	7	15	35
13	8	27	22
13	9	27.25	23
13	10	16	21
13	11	13	37
13	12	25	15
13	13	37	14
13	14	28	19
13	15	28	39
13	16	69	17
13	17	55	16
13	18	66	35
13	19	55	26
13	20	56	49
13	21	61	33
13	22	11	19
13	23	12	22
13	24	68	40
13	25	23	29
13	26	19	22
13	27	70	19
13	28	35	37
13	29	25	37
13	30	70	38
13	31	20	48
13	32	55	45
13	33	10	20
13	34	24	22
13	35	29	50
13	36	51	39
13	37	58	50
13	38	56	21
13	39	27	51
13	40	37	16
13	41	13	51
13	42	15	28
13	43	17	27
13	44	17	15
13	45	17	39
13	46	27	51
13	47	31	50
13	48	19	39
13	49	14	41
13	50	67	34
13	51	35	45
13	52	26	48
13	53	23	18
13	54	12	14
13	55	26.25	15
13	56	13	36
13	57	28	25
13	58	40	39
13	59	41	16
13	60	33	46.75
13	61	19	46
13	62	11	16
13	63	17	19
13	64	39	15
13	65	57	51
13	66	35	20
13	67	10	22
13	68	25	16
13	69	31	51
13	70	9	37
13	71	35	36
13	72	28	29
13	73	47	40
13	74	10	19
13	75	8	38
13	76	60	36
13	77	37	16
13	78	34	51
13	79	35	26
13	80	57	34
13	81	71	18
14	0	11	27
14	1	70	36
14	2	71	14
14	3	57	49.25
14	4	9	50
14	5	14	28
14	6	15	30
14	7	15	35
14	8	27	22
14	9	27.25	23
14	10	16	21
14	11	13	37
14	12	25	15
14	13	37	14
14	14	28	19
14	15	28	39
14	16	69	17
14	17	55	16
14	18	66	35
14	19	55	26
14	20	56	49
14	21	61	33
14	22	11	19
14	23	12	22
14	24	68	40
14	25	23	29
14	26	19	22
14	27	70	19
14	28	35	37
14	29	25	37
14	30	70	38
14	31	20	48
14	32	55	45
14	33	10	20
14	34	24	22
14	35	29	50
14	36	51	39
14	37	58	50
14	38	56	21
14	39	27	51
14	40	37	16
14	41	13	51
14	42	15	28
14	43	17	27
14	44	17	15
14	45	17	39
14	46	27	51
14	47	31	50
14	48	19	39
14	49	14	41
14	50	67	34
14	51	35	45
14	52	26	48
14	53	23	18
14	54	12	14
14	55	26.25	15
14	56	13	36
14	57	28	25
14	58	40	39
14	59	41	16
14	60	33	46.75
14	61	19	46
14	62	11	16
14	63	17	19
14	64	39	15
14	65	57	51
14	66	35	20
14	67	10	22
14	68	25	16
14	69	31	51
14	70	9	37
14	71	35	36
14	72	28	29
14	73	47	40
14	74	10	19
14	75	8	38
14	76	60	36
14	77	37	16
14	78	34	51
14	79	35	26
14	80	57	34
14	81	71	18
15	0	11	27
15	1	70	36
15	2	71	14
15	3	57	49.25
15	4	9	50
15	5	14	28
15	6	15	30
15	7	15	35
15	8	27	22
15	9	27.25	23
15	10	16	21
15	11	13	37
15	12	25	15
15	13	37	14
15	14	28	19
15	15	28	39
15	16	69	17
15	17	55	16
15	18	66	35
15	19	55	26
15	20	56	49
15	21	61	33
15	22	11	19
15	23	12	22
15	24	68	40
15	25	23	29
15	26	19	22
15	27	70	19
15	28	35	37
15	29	25	37
15	30	70	38
15	31	20	48
15	32	55	45
15	33	10	20
15	34	24	22
15	35	29	50
15	36	51	39
15	37	58	50
15	38	56	21
15	39	27	51
15	40	37	16
15	41	13	51
15	42	15	28
15	43	17	27
15	44	17	15
15	45	17	39
15	46	27	51
15	47	31	50
15	48	19	39
15	49	14	41
15	50	67	34
15	51	35	45
15	52	26	48
15	53	23	18
15	54	12	14
15	55	26.25	15
15	56	13	36
15	57	28	25
15	58	40	39
15	59	41	16
15	60	33	46.75
15	61	19	46
15	62	11	16
15	63	17	19
15	64	39	15
15	65	57	51
15	66	35	20
15	67	10	22
15	68	25	16
15	69	31	51
15	70	9	37
15	71	35	36
15	72	28	29
15	73	47	40
15	74	10	19
15	75	8	38
15	76	60	36
15	77	37	16
15	78	34	51
15	79	35	26
15	80	57	34
15	81	71	18
16	0	11	27
16	1	70	36
16	2	71	14
16	3	57	49.25
16	4	9	50
16	5	14	28
16	6	15	30
16	7	15	35
16	8	27	22
16	9	27.25	23
16	10	16	21
16	11	13	37
16	12	25	15
16	13	37	14
16	14	28	19
16	15	28	39
16	16	69	17
16	17	55	16
16	18	66	35
16	19	55	26
16	20	56	49
16	21	61	33
16	22	11	19
16	23	12	22
16	24	68	40
16	25	23	29
16	26	19	22
16	27	70	19
16	28	35	37
16	29	25	37
16	30	70	38
16	31	20	48
16	32	55	45
16	33	10	20
16	34	24	22
16	35	29	50
16	36	51	39
16	37	58	50
16	38	56	21
16	39	27	51
16	40	37	16
16	41	13	51
16	42	15	28
16	43	17	27
16	44	17	15
16	45	17	39
16	46	27	51
16	47	31	50
16	48	19	39
16	49	14	41
16	50	67	34
16	51	35	45
16	52	26	48
16	53	23	18
16	54	12	14
16	55	26.25	15
16	56	13	36
16	57	28	25
16	58	40	39
16	59	41	16
16	60	33	46.75
16	61	19	46
16	62	11	16
16	63	17	19
16	64	39	15
16	65	57	51
16	66	35	20
16	67	10	22
16	68	25	16
16	69	31	51
16	70	9	37
16	71	35	36
16	72	28	29
16	73	47	40
16	74	10	19
16	75	8	38
16	76	60	36
16	77	37	16
16	78	34	51
16	79	35	26
16	80	57	34
16	81	71	18
17	0	11	27
17	1	70	36
17	2	71	14
17	3	57	49.25
17	4	9	50
17	5	14	28
17	6	15	30
17	7	15	35
17	8	27	22
17	9	27.25	23
17	10	16	21
17	11	13	37
17	12	25	15
17	13	37	14
17	14	28	19
17	15	28	39
17	16	69	17
17	17	55	16
17	18	66	35
17	19	55	26
17	20	56	49
17	21	61	33
17	22	11	19
17	23	12	22
17	24	68	40
17	25	23	29
17	26	19	22
17	27	70	19
17	28	35	37
17	29	25	37
17	30	70	38
17	31	20	48
17	32	55	45
17	33	10	20
17	34	24	22
17	35	29	50
17	36	51	39
17	37	58	50
17	38	56	21
17	39	27	51
17	40	37	16
17	41	13	51
17	42	15	28
17	43	17	27
17	44	17	15
17	45	17	39
17	46	27	51
17	47	31	50
17	48	19	39
17	49	14	41
17	50	67	34
17	51	35	45
17	52	26	48
17	53	23	18
17	54	12	14
17	55	26.25	15
17	56	13	36
17	57	28	25
17	58	40	39
17	59	41	16
17	60	33	46.75
17	61	19	46
17	62	11	16
17	63	17	19
17	64	39	15
17	65	57	51
17	66	34.82322330470336	19.82322330470336
17	67	10	22
17	68	25	16
17	69	31	51
17	70	9	37
17	71	35	36
17	72	28	29
17	73	47	40
17	74	10	19
17	75	8	38
17	76	60	36
17	77	37	16
17	78	34	51
17	79	35	26
17	80	57	34
17	81	71	18
18	0	11	27
18	1	70	36
18	2	71	14
18	3	57	49.25
18	4	9	50
18	5	14	28
18	6	15	30
18	7	15	35
18	8	27	22
18	9	27.25	23
18	10	16	21
18	11	13	37
18	12	25	15
18	13	37	14
18	14	28	19
18	15	28	39
18	16	69	17
18	17	55	16
18	18	66	35
18	19	55	26
18	20	56	49
18	21	61	33
18	22	11	19
18	23	12	22
18	24	68	40
18	25	23	29
18	26	19	22
18	27	70	19
18	28	35	37
18	29	25	37
18	30	70	38
18	31	20	48
18	32	55	45
18	33	10	20
18	34	24	22
18	35	29	50
18	36	51	39
18	37	58	50
18	38	56	21
18	39	27	51
18	40	37	16
18	41	13	51
18	42	15	28
18	43	17	27
18	44	17	15
18	45	17	39
18	46	27	51
18	47	31	50
18	48	19	39
18	49	14	41
18	50	67	34
18	51	35	45
18	52	26	48
18	53	23	18
18	54	12	14
18	55	26.25	15
18	56	13	36
18	57	28	25
18	58	40	39
18	59	41	16
18	60	33	46.75
18	61	19	46
18	62	11	16
18	63	17	19
18	64	39	15
18	65	57	51
18	66	34.82322330470336	19.82322330470336
18	67	10	22
18	68	25	16
18	69	31	51
18	70	9	37
18	71	35	35.75
18	72	28	29
18	73	47	40
18	74	10	19
18	75	8	38
18	76	60	36
18	77	37	16
18	78	34	51
18	79	35	26
18	80	57	34
18	81	71	18
19	0	11	27
19	1	70	36
19	2	71	14
19	3	57	49.25
19	4	9	50
19	5	14	28
19	6	15	30
19	7	15	35
19	8	27	22
19	9	27.25	23
19	10	16	21
19	11	13	37
19	12	25	15
19	13	37	14
19	14	28	19
19	15	28	39
19	16	69	17
19	17	55	16
19	18	66	35
19	19	55	26
19	20	56	49
19	21	61	33
19	22	11	19
19	23	12	22
19	24	68	40
19	25	23	29
19	26	19	22
19	27	70	19
19	28	35	37
19	29	25	37
19	30	70	38
19	31	20	48
19	32	55	45
19	33	10	20
19	34	24	22
19	35	29	50
19	36	51	39
19	37	58	50
19	38	56	21
19	39	27	51
19	40	37	16
19	41	13	51
19	42	15	28
19	43	17	27
19	44	17	15
19	45	17	39
19	46	27	51
19	47	31	50
19	48	19	39
19	49	14	41
19	50	67	34
19	51	35	45
19	52	26	48
19	53	23	18
19	54	12	14
19	55	26.25	15
19	56	13	36
19	57	28	25
19	58	40	39
19	59	41	16
19	60	33	46.75
19	61	19	46
19	62	11	16
19	63	17	19
19	64	39	15
19	65	57	51
19	66	34.82322330470336	19.82322330470336
19	67	10	22
19	68	25	16
19	69	31	51
19	70	9	37
19	71	35	35.75
19	72	28	29
19	73	47	40
19	74	10	19
19	75	8	38
19	76	60	36
19	77	37	16
19	78	34	51
19	79	35	26
19	80	57	34
19	81	71	18
20	0	11	27
20	1	70	36
20	2	71	14
20	3	57	49.25
20	4	9	50
20	5	14	28
20	6	15	30
20	7	15	35
20	8	27	22
20	9	27.25	23
20	10	16	21
20	11	13	37
20	12	25	15
20	13	37	14
20	14	28	19
20	15	28	39
20	16	69	17
20	17	55	16
20	18	66	35
20	19	55	26
20	20	56	49
20	21	61	33
20	22	11	19
20	23	12	22
20	24	68	40
20	25	23	29
20	26	19	22
20	27	70	19
20	28	35	37
20	29	25	37
20	30	70	38
20	31	20	48
20	32	55	45
20	33	10	20
20	34	24	22
20	35	29	50
20	36	51	39
20	37	58	50
20	38	56	21
20	39	27	51
20	40	37	16
20	41	13	51
20	42	15	28
20	43	17	27
20	44	17	15
20	45	17	39
20	46	27	51
20	47	31	50
20	48	19	39
20	49	14	41
20	50	67	34
20	51	35	45
20	52	26	48
20	53	23	18
20	54	12	14
20	55	26.25	15
20	56	13	36
20	57	28	25
20	58	40	39
20	59	41	16
20	60	33	46.75
20	61	19	46
20	62	11	16
20	63	17	19
20	64	39	15
20	65	57	51
20	66	34.82322330470336	19.82322330470336
20	67	10	22
20	68	25	16
20	69	31	51
20	70	9	37
20	71	35	35.75
20	72	28	29
20	73	47	40
20	74	10	19
20	75	8	38
20	76	60	36
20	77	37	16
20	78	34	51
20	79	35	26
20	80	57	34
20	81	71	18
21	0	11	27
21	1	70	36
21	2	71	14
21	3	57	49.25
21	4	9	50
21	5	14	28
21	6	15	30
21	7	15	35
21	8	27	22
21	9	27.25	23
21	10	16	21
21	11	13	37
21	12	25	15
21	13	37	14
21	14	28	19
21	15	28	39
21	16	69	17
21	17	55	16
21	18	66	35
21	19	55	26
21	20	56	49
21	21	61	33
21	22	11	19
21	23	12	22
21	24	68	40
21	25	23	29
21	26	19	22
21	27	70	19
21	28	35	37
21	29	25.25	37
21	30	70	38
21	31	20	48
21	32	55	45
21	33	10	20
21	34	24	22
21	35	29	50
21	36	51	39
21	37	58	50
21	38	56	21
21	39	27	51
21	40	37	16
21	41	13	51
21	42	15	28
21	43	17	27
21	44	17	15
21	45	17	39
21	46	27	51
21	47	31	50
21	48	19	39
21	49	14	41
21	50	67	34
21	51	35	45
21	52	26	48
21	53	23	18
21	54	12	14
21	55	26.25	15
21	56	13	36
21	57	28	25
21	58	40	39
21	59	41	16
21	60	33	46.75
21	61	19	46
21	62	11	16
21	63	17	19
21	64	39	15
21	65	57	51
21	66	34.82322330470336	19.82322330470336
21	67	10	22
21	68	25	16
21	69	31	51
21	70	9	37
21	71	35	35.75
21	72	28	29
21	73	47	40
21	74	10	19
21	75	8	38
21	76	60	36
21	77	37	16
21	78	34	51
21	79	35	26
21	80	57	34
